id,title,body,images,images:title
168,"Connected Devices, Connected Colleagues","<h3>Connected Devices, Connected Colleagues</h3> <p>With over <a href=""http://wcetconference.wiche.edu/program"" target=""_blank"">50 concurrent sessions</a> and <a href=""http://wcetconference2015.wiche.edu/program-by-speakers"" target=""_blank"">over 100 speakers</a>, the <a href=""http://wcetconference2015.wiche.edu/"" target=""_blank"">27th WCET Annual Meeting</a> is an outstanding lineup of forward thinking innovators, practitioners, and thought leaders in higher education technology. In typical WCET fashion, nearly every session includes multiple perspectives on topics such as:</p> <p>- The Internet of Things.<br /> - Adaptive Learning.<br /> - Federal Policy &amp; the Impact on Students, Institutions, States, &amp; Accreditors.<br /> - Managing CBE -- From Starting an Initiative to Developing a Transcript.</p> <p>Photo Credit: <a href=""https://www.flickr.com/photos/wallyg/6146331964"">Wally Gobetz</a></p> <p>&nbsp;</p>",254,
169,September is Accessibility Month at WCET,"<h3>September is Accessibility Month at WCET</h3> <p>To recognize the importance of accessibility as we kick off the fall semester, WCET will feature several <a href=""https://wcetblog.wordpress.com/"" target=""_blank"">Frontiers blogs</a> and webcasts on accessibility issues and best practices across the institution.&nbsp; We invite you to join in the learning by registering for our webcasts:</p> <p><a href=""/events/webcasts/video-captioning"">Video Captioning: Features, Costs, Good Practices, and How Captioning Benefits All Students</a> - September 10, 2015<br /> <a href=""/events/webcasts/culture-of-accessibility-online-students"">Promoting a Culture of Accessibility for Online Students</a> - September 24, 2015<br /> <a href=""/events/webcasts/accessibility-educational-technologies-across-campus"">Accessibility for Edtech Across the Campus: Turning a Negative into a Positive</a> - September 29, 2015</p> <p>Photo Credit: <a href=""https://www.flickr.com/photos/yaccesslab/6258898224"" target=""_blank"">Yahoo! Accessibility Lab</a></p> <p>&nbsp;</p>",255,
211,Join WCET'ers in Denver,"<p><strong>Join WCET&#39;ers in Denver. </strong>View the 27th WCET Annual Meeting <a href=""http://wcetconference.wiche.edu/program"">preliminary program</a>. The program and <a href=""http://wcetconference.wiche.edu/registration"">registration </a>are live. Stay tuned for additional sessions, workshops, and speakers.</p> <p>Photo Credit: <a href=""https://www.flickr.com/photos/39877441@N05/6456802119/in/photolist-aQyNjt-rJ9Znr-2bSid-7weu65-gJaey-pLs2Rt-7Jvke9-7Jvgum-7JveqS-7JvmHJ-7JvonC-7JvmaQ-7JvfM1-7Jrmg4-7Jvjsy-7JvnUq-7Jviv1-jzxcGC-5CzswR-qziNUt-qziP7n-qyafhx-amjmx7-amjmuC-amgyg8-amjmqf-5XvEoq-537QgM-ncCm9E-53coi6-eDt1o5-qhVyW7-7ixPbD-fB8TmL-4QxjC-qPkmQW-ncBU5Y-4K8DuF-4oMYp3-dJA6K-ajYj3R-4d27kw-dJzZw-iPRpm-iPTt7-dJA3a-dJA43-iPRZS-dJA74-iPT4Gimage"">Michael Levine-Clarke</a></p>",256,
212,New Bylaws Approved,"<p><strong>​New Bylaws Approved. </strong>In a majority vote by the membership, WCET has amended the bylaws which govern your cooperative. The new bylaws include streamlined and clarified language regarding the operation of your cooperative. We encourage you to familiarize yourself with <a href=""/about/bylaws-2015"">the new bylaws.</a></p> <p>Photo Credit: <a href=""https://www.flickr.com/photos/jakerust/16640006897"">GotCredit</a></p>",257,
213,Join WCET'ers in Denver,"<p><strong>​Join WCET'ers in Denver. </strong><a href=""https://www.regonline.com/register/login.aspx?eventID=1700694&amp;MethodId=0&amp;EventsessionId="">Registration </a>for the <a href=""http://wcetconference.wiche.edu/"">27th WCET Annual Meeting</a> is now open.&nbsp; The annual meeting brings together innovative thinkers and pragmatic solutions to create a dynamic program and 3 days jam-packed with learning.&nbsp; We&#39;ve sold out in recent years, so register early to ensure your seat and save some funds. See YOU in the Mile High City!</p> <p>Photo Credit: <a href=""https://www.flickr.com/photos/smithat/8336144752/in/dateposted/"">Andy Smith</a></p>",258,
214,WCET Steering Committee Nominations Open,"<p><strong>WCET Steering Committee Nominations Open. </strong>WCET members have the opportunity to serve on the 15-person Steering Committee, an advisory group elected to 3-year terms by the designated &quot;official representative&quot; of each member instituiton or organization.&nbsp; Nominations are open to WCET members only until July 29th, 2015. For more information <a href=""mailto:sartzgilbert@wiche.edu"">contact Sherri Artz Gilbert</a>.</p>",259,
215,Your Ideas Matter!,"<p><strong>Your Ideas Matter!</strong>Some new federal regulations may be coming your way and we need to make our voice heard. We need your help in addressing concerns in four areas: ensuring equity for financial aid, student identity, accessibility, and state authorization of distance education. Visit <a href=""https://wcetblog.wordpress.com/2015/06/04/four-recommendations-for-hea/"">WCET Frontiers </a>to learn more and share your ideas with us today!</p> <p>Photo credit:&nbsp;<a href=""https://www.flickr.com/photos/stephenmelkisethian/10320387414/"" target=""_blank"">Stephen Melkisethian</a></p>",260,
216,ICYMI: Diversity in the Higher Ed Pipeline,"<p><strong>ICYMI: Diversity in the Higher Ed Pipeline. </strong><a href=""/events/webcasts/diversity-and-higher-ed-pipeline"" target=""_blank"">View the recording</a> of WCET&#39;s Cali Morrison in a Google Hangout with Jaime Casap, Education Evangelist at Google and Mariana Lebron, Assistant Professor of Management at Towson University.&nbsp; The trio discussed diversity issues and where the leaks may be in the higher ed pipeline.</p> <p><a href=""https://www.flickr.com/photos/departmentofed/9599951079/"" target=""_blank"">Photo Credit: U.S. Department of Education</a></p>",261,
217,State Authorization Compliance Workshop,"<p><strong>State Authorization Compliance Workshop. </strong>Are you charged with managing the state authorization of distance education at your institution? Do you need help navigating the chaotic world of state regulations, federal updates, and the seemingly endless paperwork involved? Are you relatively new to authorization and compliance issues? If so, the July 23-24 <a href=""/events/SAN-workshop/july-2015"">WCET State Authorization Compliance Workshop</a> may be the answer! Photo Credit: <a href=""https://www.flickr.com/photos/39877441@N05/14062903973/"">Mclcbooks</a></p>",262,
218,Few Seats Remain for the Adaptive Learning Leadership Summit,"<p><strong>Few Seats Remain for the Adaptive Learning Leadership Summit. </strong>On June 10-11, 2015, WCET will hold the Leadership Summit, &quot;Adaptive Learning in Higher Ed: Improving Outcomes Dynamically&quot; in Santa Fe, New Mexico where institutional leaders and corporate innovators will convene to explore the challenges, benefits, and tools related to adaptive learning in higher education. <a href=""/events/summits/adaptive-learning-2015"">Learn more</a> and <a href=""https://www.regonline.com/Register/Checkin.aspx?EventID=1663144"">register</a> today! Photo Credit: <a href=""https://www.flickr.com/photos/jimnix/6284941172/"">Jim Nix</a></p>",263,
